,id1,id2,func,type,train
135,21273058,23677135,7,4,1
136,858383,23677226,44,0,0
136,5037689,23677156,13,0,1
137,5037689,23677157,13,0,1
137,863589,23677226,44,0,1
138,5093132,23677155,13,0,0
138,881840,23677226,44,0,0
139,5093132,23677156,13,0,1
139,891391,23677226,44,0,1
139,789018,23677226,44,4,1
140,892628,23677226,44,0,1
140,5093132,23677157,13,0,1
141,281236,23677226,44,4,1
141,3596828,23677156,13,4,1
141,5272380,23677155,13,0,1
141,910480,23677226,44,0,0
142,5272380,23677156,13,0,0
142,910690,23677226,44,0,0
143,911775,23677226,44,0,0
143,5272380,23677157,13,0,1
144,652689,23677226,44,4,1
144,5272381,23677155,13,0,1
144,912098,23677226,44,0,1
145,913384,23677226,44,0,0
145,5272381,23677156,13,0,1
146,916275,23677226,44,0,0
146,5272381,23677157,13,0,1
147,927502,23677226,44,0,0
147,5272382,23677155,13,0,1
148,928485,23677226,44,0,0
148,5272382,23677156,13,0,1
149,932293,23677226,44,0,1
149,5272382,23677157,13,0,1
149,2423912,23677156,13,4,1
149,292889,23677226,44,4,1
149,45973,23677142,7,0,1
150,935196,23677226,44,0,1
150,5279574,23677155,13,0,1
151,5279574,23677156,13,0,1
151,935810,23677226,44,0,1
152,13088706,23677156,13,4,0
152,936425,23677226,44,0,1
152,5279574,23677157,13,0,1
153,939306,23677226,44,0,1
153,5419710,23677155,13,0,0
154,946512,23677226,44,0,1
154,5419710,23677156,13,0,1
155,5419710,23677157,13,0,1
155,947102,23677226,44,0,1
156,950312,23677226,44,0,1
157,5540027,23677156,13,0,1
157,20740028,23677156,13,4,0
157,2044209,23677226,44,0,1
158,5540027,23677157,13,0,1
158,3868944,23677226,44,0,1
159,5542265,23677155,13,0,1
159,4750695,23677226,44,0,1
160,6465770,23677226,44,0,1
161,6465771,23677226,44,0,1
162,946510,23677226,44,4,0
162,6917038,23677226,44,0,1
162,5805315,23677155,13,0,1
163,7003180,23677226,44,0,1
163,5805315,23677156,13,0,1
163,11205237,23677156,13,4,1
164,5805315,23677157,13,0,1
164,7171043,23677226,44,0,0
165,8972525,23677226,44,0,0
165,6036290,23677155,13,0,1
166,9755673,23677226,44,0,1
167,9755676,23677226,44,0,0
167,6036290,23677157,13,0,0
168,10366826,23677156,13,4,1
168,6310113,23677155,13,0,1
168,10067401,23677226,44,0,1
169,6310113,23677156,13,0,1
169,52273,23677134,7,0,0
169,10067402,23677226,44,0,0
170,6310113,23677157,13,0,1
170,10067404,23677226,44,0,1
170,628864,23677156,13,4,1
170,518705,590962,44,4,1
171,6353292,23677155,13,0,1
171,11560330,23677226,44,0,0
172,6353292,23677156,13,0,1
172,11560331,23677226,44,0,1
173,6938966,23677156,13,4,1
173,518705,10067403,44,4,1
173,11674438,23677226,44,0,1
173,6353292,23677157,13,0,1
174,6416636,23677155,13,0,1
174,11976309,23677226,44,0,1
174,518705,4758170,44,4,1
175,6416636,23677156,13,0,1
175,10868405,23677156,13,4,1
175,426940,518705,44,4,1
175,12453210,23677226,44,0,1
176,13179361,23677226,44,0,1
176,6416636,23677157,13,0,1
177,518705,22060129,44,4,1
177,6476018,23677155,13,0,0
177,13179373,23677226,44,0,1
178,22181822,23677156,13,4,1
178,13179374,23677226,44,0,1
178,518705,23355904,44,4,1
178,6476018,23677156,13,0,1
179,6476018,23677157,13,0,1
179,13839382,23677226,44,0,1
180,13839384,23677226,44,0,1
180,6482417,23677155,13,0,1
181,14321901,23677226,44,0,1
181,6482417,23677156,13,0,1
182,14321903,23677226,44,0,1
182,6482417,23677157,13,0,1
183,14321904,23677226,44,0,1
183,6501588,23677155,13,0,1
183,513245,531920,44,4,1
184,518705,3868943,44,4,1
184,6501588,23677156,13,0,1
184,14321905,23677226,44,0,1
185,14357839,23677226,44,0,1
185,6501588,23677157,13,0,1
186,14357855,23677226,44,0,1
186,6944380,23677155,13,0,1
187,14357856,23677226,44,0,1
188,353067,8972522,44,4,1
188,6944380,23677157,13,0,1
188,15064,6088697,13,4,1
188,15588498,23677226,44,0,1
189,16152855,23677226,44,0,0
190,16491811,23677226,44,0,1
190,6979194,23677156,13,0,1
191,16491812,23677226,44,0,1
192,353067,422433,44,4,1
192,7106275,23677155,13,0,1
192,16896239,23677226,44,0,1
193,16896240,23677226,44,0,0
193,7106275,23677156,13,0,1
194,7106275,23677157,13,0,1
194,16896241,23677226,44,0,1
194,6088697,7357528,13,4,1
194,513245,8972522,44,4,0
195,7231842,23677155,13,0,1
195,18072334,23677226,44,0,1
196,518705,950313,44,4,1
196,18072335,23677226,44,0,1
196,6088697,7839340,13,4,0
196,7231842,23677156,13,0,1
197,18245809,23677226,44,0,1
197,7231842,23677157,13,0,1
198,18245810,23677226,44,0,1
198,7279295,23677155,13,0,0
199,7279295,23677156,13,0,1
199,966813,6088697,13,4,1
199,18245811,23677226,44,0,1
200,13696846,23677135,7,4,1
200,7279295,23677157,13,0,1
200,18245812,23677226,44,0,0
201,19418632,23677226,44,0,1
202,19418633,23677226,44,0,1
202,7305283,23677156,13,0,0
203,7305283,23677157,13,0,1
203,19692114,23677226,44,0,0
203,353067,3868943,44,4,1
204,7635076,23677155,13,0,1
204,19910710,23677226,44,0,1
205,20449037,23677226,44,0,1
206,7635076,23677157,13,0,0
206,20789654,23677226,44,0,1
207,21619743,23677226,44,0,1
207,7899786,23677155,13,0,1
208,7899786,23677156,13,0,1
208,21665284,23677226,44,0,1
209,7899786,23677157,13,0,1
209,22174814,23677226,44,0,0
210,7981579,23677155,13,0,1
210,6088697,19654781,13,4,1
210,22820417,23677226,44,0,1
211,6088697,19654783,13,4,1
211,353067,10067403,44,4,1
211,7981579,23677156,13,0,1
211,23355902,23677226,44,0,1
212,23355905,23677226,44,0,1
212,7981579,23677157,13,0,1
212,6088697,17510245,13,4,1
213,7986663,23677155,13,0,1
215,7986663,23677157,13,0,1
217,8001809,23677156,13,0,1
218,21273051,23677135,7,4,1
218,513245,9755674,44,4,0
218,6088697,17621069,13,4,1
218,8001809,23677157,13,0,1
219,8008369,23677155,13,0,1
220,8008369,23677156,13,0,1
221,6088697,22648484,13,4,1
221,136941,892626,44,4,1
221,8008369,23677157,13,0,1
222,8206774,23677155,13,0,1
223,8206774,23677156,13,0,0
224,8206774,23677157,13,0,1
225,8227926,23677155,13,0,1
226,6088697,11205237,13,4,1
226,8227926,23677156,13,0,1
227,8227926,23677157,13,0,0
228,8498047,23677155,13,0,0
229,8498047,23677156,13,0,0
230,8498047,23677157,13,0,1
231,6088697,9883524,13,4,1
231,8682225,23677155,13,0,1
232,8682225,23677156,13,0,1
233,8682225,23677157,13,0,1
233,6088697,8586224,13,4,1
233,892626,950313,44,4,1
234,8811298,23677155,13,0,1
235,8811298,23677156,13,0,1
236,8811298,23677157,13,0,1
237,8896155,23677155,13,0,1
237,6088697,8533735,13,4,1
238,8896155,23677156,13,0,0
239,892626,4758170,44,4,1
239,8896155,23677157,13,0,1
239,6088697,7200130,13,4,1
240,8998440,23677155,13,0,1
242,8998440,23677157,13,0,1
244,9414359,23677156,13,0,1
245,9414359,23677157,13,0,1
246,661979,4128381,44,4,1
246,9414360,23677155,13,0,0
246,6088697,10868405,13,4,1
247,15287811,23677134,7,4,0
247,9414360,23677156,13,0,0
248,9414360,23677157,13,0,1
249,9414363,23677155,13,0,0
250,9414363,23677156,13,0,0
251,1313371,6088697,13,4,0
251,136941,193559,44,4,0
251,74585,23677146,7,0,1
252,3894025,6088697,13,4,1
253,9414364,23677156,13,0,1
254,5172908,6088697,13,4,1
254,9414364,23677157,13,0,1
254,193559,3868943,44,4,0
255,9414368,23677155,13,0,1
256,193559,13839383,44,4,1
256,9414368,23677156,13,0,0
257,9414368,23677157,13,0,1
257,520192,590962,44,4,1
258,9414369,23677155,13,0,1
259,3596828,17621070,13,4,0
259,9414369,23677156,13,0,1
260,9414369,23677157,13,0,1
261,9479943,23677155,13,0,1
261,7079645,17621070,13,4,1
262,9479943,23677156,13,0,1
263,9479943,23677157,13,0,1
264,9598420,23677155,13,0,1
265,9598420,23677156,13,0,1
266,9598420,23677157,13,0,1
267,9708818,23677155,13,0,1
268,9708818,23677156,13,0,1
270,10258420,17621070,13,4,1
270,193559,4128381,44,4,1
271,9708819,23677156,13,0,1
272,17621070,20328640,13,4,1
272,9708819,23677157,13,0,0
274,9708829,23677156,13,0,1
275,9708829,23677157,13,0,1
277,9900366,23677156,13,0,1
278,9900366,23677157,13,0,1
279,10048471,23677155,13,0,1
280,10048471,23677156,13,0,0
281,10048471,23677157,13,0,1
282,193559,426940,44,4,1
282,5226973,17621070,13,4,1
282,10056156,23677155,13,0,1
283,10056156,23677156,13,0,1
284,10056156,23677157,13,0,1
285,10163526,23677155,13,0,1
286,10163526,23677156,13,0,1
286,100258,23677139,7,0,1
287,10163526,23677157,13,0,1
288,10274234,23677155,13,0,1
289,520192,950313,44,4,1
289,10274234,23677156,13,0,1
289,17621070,21745053,13,4,1
290,100258,23677143,7,0,1
290,338852,23677134,7,4,0
290,10274234,23677157,13,0,1
291,10275021,23677155,13,0,1
291,590962,847422,44,4,1
291,9883524,17621070,13,4,0
292,10275021,23677156,13,0,1
293,11374801,23677134,7,4,1
293,10275021,23677157,13,0,0
294,10489284,23677155,13,0,1
296,10489284,23677157,13,0,0
296,422433,847422,44,4,0
296,10366826,17621070,13,4,1
297,10685284,23677155,13,0,1
298,426940,847422,44,4,1
298,628864,17621070,13,4,0
298,10685284,23677156,13,0,0
299,10685284,23677157,13,0,0
301,10816274,23677156,13,0,1
302,10816274,23677157,13,0,1
303,10829219,23677155,13,0,1
304,13344290,23677134,7,4,1
304,10829219,23677156,13,0,1
305,10829219,23677157,13,0,1
306,10856256,23677155,13,0,0
307,10856256,23677156,13,0,0
309,136941,847422,44,4,1
309,17621070,19654782,13,4,1
309,10969249,23677155,13,0,0
310,10969249,23677156,13,0,1
311,10969249,23677157,13,0,1
311,245162,23677134,7,4,1
312,11039579,23677155,13,0,1
313,847422,16152856,44,4,1
314,11039579,23677157,13,0,1
315,7670209,17621070,13,4,1
316,11051820,23677156,13,0,0
317,11051820,23677157,13,0,1
318,847422,4758170,44,4,1
318,11071921,23677155,13,0,0
318,3596828,19119522,13,4,0
319,11071921,23677156,13,0,1
320,11071921,23677157,13,0,1
321,11191280,23677155,13,0,1
321,910688,22060129,44,4,1
321,10496866,19119522,13,4,1
322,207270,590962,44,4,1
322,11191280,23677156,13,0,1
323,11191280,23677157,13,0,1
324,103828,910688,44,4,0
324,11205537,23677155,13,0,1
324,632530,19119522,13,4,1
325,11205537,23677156,13,0,1
327,11256091,23677155,13,0,0
328,11256091,23677156,13,0,1
329,11256091,23677157,13,0,0
331,136941,207270,44,4,1
331,11355676,23677156,13,0,1
332,11355676,23677157,13,0,1
332,13088706,19119522,13,4,1
332,103828,207270,44,4,0
333,11367479,23677155,13,0,1
334,11367479,23677156,13,0,0
335,11367479,23677157,13,0,1
336,11372483,23677155,13,0,1
338,11372483,23677157,13,0,1
339,127080,23677136,7,0,1
340,11658920,23677156,13,0,1
341,11658920,23677157,13,0,1
342,11866074,23677155,13,0,1
343,739813,4128381,44,4,1
346,11866933,23677156,13,0,1
347,11866933,23677157,13,0,1
348,12409601,23677155,13,0,1
349,12409601,23677156,13,0,0
350,12409601,23677157,13,0,1
351,12628703,23677155,13,0,1
351,133091,23677134,7,0,1
352,12628703,23677156,13,0,1
353,12628703,23677157,13,0,0
354,12750603,23677155,13,0,0
354,7436917,19119522,13,4,1
354,426940,689531,44,4,1
355,12750603,23677156,13,0,0
356,12750603,23677157,13,0,0
357,14132423,23677134,7,4,1
357,12831746,23677155,13,0,1
357,133091,23677140,7,0,1
358,12831746,23677156,13,0,0
359,12831746,23677157,13,0,1
360,22137813,23677134,7,4,0
360,12834346,23677155,13,0,1
361,12834346,23677156,13,0,0
362,12834346,23677157,13,0,1
363,12883936,23677155,13,0,1
364,12883936,23677156,13,0,1
365,12883936,23677157,13,0,0
365,540829,19119522,13,4,0
366,426940,487412,44,4,1
367,12999076,23677156,13,0,1
367,2451218,19119522,13,4,1
368,426940,428049,44,4,1
368,12999076,23677157,13,0,1
368,10366826,19119522,13,4,1
369,13146082,23677155,13,0,1
370,13146082,23677156,13,0,0
371,13146082,23677157,13,0,1
373,13281621,23677156,13,0,1
374,13281621,23677157,13,0,0
375,13431733,23677155,13,0,1
376,13431733,23677156,13,0,1
377,13431733,23677157,13,0,1
378,13621015,23677155,13,0,1
379,9385633,23677145,7,4,0
379,155474,23677134,7,0,1
380,13621015,23677157,13,0,1
381,13913361,23677155,13,0,1
382,13913361,23677156,13,0,1
383,13913361,23677157,13,0,1
384,14015068,23677155,13,0,1
385,13295656,23677145,7,4,1
386,14015068,23677157,13,0,1
387,7848932,19119522,13,4,0
387,155474,23677142,7,0,1
387,245664,426940,44,4,1
388,14121891,23677156,13,0,0
390,14259881,23677155,13,0,1
391,14259881,23677156,13,0,1
392,14259881,23677157,13,0,1
393,174086,426940,44,4,0
393,14416348,23677155,13,0,1
393,10496866,18412513,13,4,0
394,14416348,23677156,13,0,0
395,14416348,23677157,13,0,1
396,11261440,23677145,7,4,0
396,14485003,23677155,13,0,1
397,14485003,23677156,13,0,1
398,14485003,23677157,13,0,1
399,14574135,23677155,13,0,1
400,14574135,23677156,13,0,1
402,299388,426940,44,4,0
402,966813,18412513,13,4,1
402,14744159,23677155,13,0,1
403,14744159,23677156,13,0,1
404,14744159,23677157,13,0,1
405,14809923,23677155,13,0,1
406,14809923,23677156,13,0,1
407,14809923,23677157,13,0,1
407,6138230,18412513,13,4,0
408,18412513,20328640,13,4,1
408,426940,695789,44,4,1
408,14823678,23677155,13,0,1
409,14823678,23677156,13,0,1
410,14823678,23677157,13,0,1
410,426940,695350,44,4,0
410,18412513,20328638,13,4,1
411,3596848,18412513,13,4,0
411,188502,23677138,7,0,1
411,15066658,23677155,13,0,0
411,426940,646739,44,4,0
412,15066658,23677156,13,0,0
414,15102847,23677155,13,0,1
414,18412513,19654783,13,4,0
414,292889,426940,44,4,1
415,15102847,23677156,13,0,1
416,296921,426940,44,4,0
416,15102847,23677157,13,0,1
417,15294077,23677155,13,0,0
418,15294077,23677156,13,0,0
419,15294077,23677157,13,0,1
420,15375607,23677155,13,0,0
420,5226973,18412513,13,4,1
420,426940,714205,44,4,1
421,15375607,23677156,13,0,1
422,17621071,18412513,13,4,1
422,15375607,23677157,13,0,1
423,15564158,23677155,13,0,1
424,15564158,23677156,13,0,1
425,15564158,23677157,13,0,1
426,15666494,23677155,13,0,1
428,15666494,23677157,13,0,1
429,4272289,23677145,7,4,0
429,16136108,23677155,13,0,1
430,16136108,23677156,13,0,1
430,279854,426940,44,4,1
430,18412513,21745053,13,4,1
431,16136108,23677157,13,0,0
432,16204711,23677155,13,0,1
432,1721214,18412513,13,4,1
432,426940,801168,44,4,1
433,17467511,18412513,13,4,1
433,16204711,23677156,13,0,0
433,426940,4128381,44,4,1
434,16204711,23677157,13,0,1
434,793386,23677145,7,4,1
435,16677102,18412513,13,4,1
436,8586224,18412513,13,4,1
436,345907,426940,44,4,0
436,16216215,23677156,13,0,1
437,16216215,23677157,13,0,1
438,16442937,23677155,13,0,0
439,2451218,18412513,13,4,1
439,426940,489465,44,4,1
439,16442937,23677156,13,0,1
440,16442937,23677157,13,0,1
441,16451700,23677155,13,0,1
442,16451700,23677156,13,0,1
443,4490317,18412513,13,4,0
443,426940,820538,44,4,1
443,16451700,23677157,13,0,1
444,16914987,23677155,13,0,1
445,16914987,23677156,13,0,1
446,16914987,23677157,13,0,1
447,17048141,23677155,13,0,1
448,17048141,23677156,13,0,1
449,17048141,23677157,13,0,1
450,3596849,18412513,13,4,1
450,17057125,23677155,13,0,1
450,217749,426940,44,4,1
450,12122419,23677145,7,4,1
451,17057125,23677156,13,0,1
452,17057125,23677157,13,0,1
453,17498236,23677155,13,0,1
456,17624942,23677155,13,0,1
457,426940,950313,44,4,1
457,5172908,18412513,13,4,0
457,17624942,23677156,13,0,1
460,3596828,17621072,13,4,1
460,17641541,23677156,13,0,1
460,2401,426940,44,4,1
461,15064,17621072,13,4,1
462,17800886,23677155,13,0,1
462,7079645,17621072,13,4,1
463,17800886,23677156,13,0,1
463,10496866,17621072,13,4,1
463,128025,426940,44,4,1
464,14009710,17621072,13,4,1
464,17800886,23677157,13,0,1
465,17989783,23677155,13,0,1
467,17989783,23677157,13,0,0
468,18088116,23677155,13,0,1
469,18088116,23677156,13,0,1
470,18088116,23677157,13,0,1
471,4490316,17621072,13,4,1
471,426940,694023,44,4,1
471,18357814,23677155,13,0,1
472,18357814,23677156,13,0,1
473,18357814,23677157,13,0,1
476,209396,23677133,7,0,0
477,18515074,23677155,13,0,1
478,13912756,17621072,13,4,1
478,426940,681078,44,4,1
478,18515074,23677156,13,0,1
479,18515074,23677157,13,0,1
479,426940,946510,44,4,1
479,17621072,19654781,13,4,1
480,18570252,23677155,13,0,1
481,18570252,23677156,13,0,1
482,18570252,23677157,13,0,1
483,18758340,23677155,13,0,1
485,5226973,17621072,13,4,1
485,426940,776779,44,4,1
485,18758340,23677157,13,0,0
486,19137253,23677155,13,0,1
486,28333,426940,44,4,1
486,13160464,17621072,13,4,1
487,209396,23677144,7,0,1
487,19137253,23677156,13,0,1
488,19137253,23677157,13,0,1
489,19406526,23677155,13,0,1
490,19406526,23677156,13,0,1
493,19466131,23677156,13,0,0
494,19466131,23677157,13,0,1
495,16677102,17621072,13,4,1
495,19569166,23677155,13,0,1
495,241850,426940,44,4,1
496,19569166,23677156,13,0,0
497,19569166,23677157,13,0,1
498,13088707,17621072,13,4,0
498,19752106,23677155,13,0,1
499,19752106,23677156,13,0,1
500,19752106,23677157,13,0,1
501,19828158,23677155,13,0,1
502,19828158,23677156,13,0,1
503,19828158,23677157,13,0,0
505,19862707,23677156,13,0,1
506,17621072,20328639,13,4,1
506,19862707,23677157,13,0,0
506,207270,950313,44,4,1
507,20010244,23677155,13,0,1
507,207270,422433,44,4,1
507,3596847,17621072,13,4,1
509,10868405,17621072,13,4,0
509,20010244,23677157,13,0,1
511,739813,4758170,44,4,1
511,215863,23677140,7,0,1
511,20027640,23677156,13,0,1
512,20027640,23677157,13,0,1
513,20253121,23677155,13,0,1
514,20253121,23677156,13,0,1
